Date,Open,High,Low,Close,Volume,Ticker
2025-03-26,5771.66,5783.62,5694.41,5712.20,4183140000,^GSPC
2025-03-27,5695.64,5732.28,5670.94,5693.31,4403460000,^GSPC
2025-03-28,5679.20,5685.89,5572.42,5580.94,4513330000,^GSPC
2025-03-31,5527.91,5627.56,5488.73,5611.85,5257250000,^GSPC
2025-04-01,5597.53,5650.57,5558.52,5633.07,4434500000,^GSPC
2025-04-02,5580.76,5695.31,5571.48,5670.97,4243830000,^GSPC
2025-04-03,5492.74,5499.53,5390.83,5396.52,7210470000,^GSPC
2025-04-04,5292.14,5292.14,5069.90,5074.08,8853500000,^GSPC
2025-04-07,4953.79,5246.57,4835.04,5062.25,8691980000,^GSPC
2025-04-08,5193.57,5267.47,4910.42,4982.77,7408140000,^GSPC
2025-04-09,4965.28,5481.34,4948.43,5456.90,9489600000,^GSPC
2025-04-10,5353.15,5353.15,5115.27,5268.05,6677140000,^GSPC
2025-04-11,5255.56,5381.46,5220.77,5363.36,5602550000,^GSPC
2025-04-14,5441.96,5459.46,5358.02,5405.97,5031440000,^GSPC
2025-04-15,5411.99,5450.41,5386.44,5396.63,4317110000,^GSPC
2025-04-16,5335.75,5367.24,5220.79,5275.70,4607750000,^GSPC
2025-04-17,5305.45,5328.31,5255.58,5282.70,4714880000,^GSPC
2025-04-21,5232.94,5232.94,5101.63,5158.20,4226340000,^GSPC
2025-04-22,5207.67,5309.61,5207.67,5287.76,4666950000,^GSPC
2025-04-23,5395.92,5469.69,5356.17,5375.86,5371390000,^GSPC
2025-04-24,5381.38,5489.40,5371.96,5484.77,4697710000,^GSPC
2025-04-25,5489.73,5528.11,5455.86,5525.21,4236580000,^GSPC
2025-04-28,5529.22,5553.66,5468.64,5528.75,4257880000,^GSPC
2025-04-29,5508.87,5571.95,5505.70,5560.83,4747150000,^GSPC
2025-04-30,5499.44,5581.84,5433.24,5569.06,5449490000,^GSPC
2025-05-01,5625.14,5658.91,5597.35,5604.14,4935270000,^GSPC
2025-05-02,5645.88,5700.70,5642.28,5686.67,4854380000,^GSPC
2025-05-05,5655.32,5683.38,5634.48,5650.38,4358260000,^GSPC
2025-05-06,5605.87,5649.58,5586.04,5606.91,4717260000,^GSPC
2025-05-07,5614.18,5654.73,5578.64,5631.28,4987440000,^GSPC
2025-05-08,5663.60,5720.10,5635.38,5663.94,5627400000,^GSPC
2025-05-09,5679.65,5691.69,5644.15,5659.91,4645090000,^GSPC
2025-05-12,5807.20,5845.37,5786.08,5844.19,6014580000,^GSPC
2025-05-13,5854.15,5906.64,5845.02,5886.55,5516290000,^GSPC
2025-05-14,5896.74,5906.55,5872.11,5892.58,5233450000,^GSPC
2025-05-15,5869.82,5924.21,5865.16,5916.93,4991290000,^GSPC
2025-05-16,5929.09,5958.62,5907.36,5958.38,4850850000,^GSPC
2025-05-19,5902.88,5968.61,5895.69,5963.60,4144010000,^GSPC
2025-05-20,5944.66,5953.06,5909.26,5940.46,4416850000,^GSPC
2025-05-21,5910.18,5938.37,5830.91,5844.61,5254250000,^GSPC
2025-05-22,5841.26,5878.08,5825.82,5842.01,5157050000,^GSPC
2025-05-23,5781.89,5829.51,5767.41,5802.82,4662820000,^GSPC
2025-05-27,5854.07,5924.33,5854.07,5921.54,5366380000,^GSPC
2025-05-28,5925.54,5939.92,5881.88,5888.55,4665050000,^GSPC
2025-05-29,5939.96,5943.13,5873.80,5912.17,4569750000,^GSPC
2025-05-30,5903.67,5922.14,5843.66,5911.69,6378540000,^GSPC
2025-06-02,5896.68,5937.40,5861.43,5935.94,4832240000,^GSPC
2025-06-03,5938.56,5981.35,5929.00,5970.37,5026680000,^GSPC
2025-06-04,5978.94,5990.48,5966.11,5970.81,4767050000,^GSPC
2025-06-05,5985.67,5999.70,5921.20,5939.30,5091850000,^GSPC
2025-06-06,5987.06,6016.87,5978.63,6000.36,4355710000,^GSPC
2025-06-09,6004.63,6021.31,5994.18,6005.88,4642360000,^GSPC
2025-06-10,6009.91,6043.01,6000.28,6038.81,4882880000,^GSPC
2025-06-11,6049.38,6059.40,6002.32,6022.24,5111550000,^GSPC
2025-06-12,6009.90,6045.43,6003.88,6045.26,4669500000,^GSPC
2025-06-13,6000.56,6026.16,5963.21,5976.97,5258910000,^GSPC
2025-06-16,6004.00,6050.83,6004.00,6033.11,5111710000,^GSPC
2025-06-17,6012.15,6023.25,5974.80,5982.72,4955700000,^GSPC
2025-06-18,5987.93,6018.25,5971.89,5980.87,5106470000,^GSPC
2025-06-20,5999.67,6018.20,5952.56,5967.84,7451500000,^GSPC
2025-06-23,5969.67,6028.77,5943.23,6025.17,5597000000,^GSPC
2025-06-24,6061.21,6101.76,6059.25,6092.18,5443690000,^GSPC
2025-06-25,6104.23,6108.51,6080.09,6092.16,5171110000,^GSPC
2025-06-26,6112.09,6146.52,6107.27,6141.02,5308140000,^GSPC
2025-06-27,6150.70,6187.68,6132.35,6173.07,7889350000,^GSPC
2025-06-30,6193.36,6215.08,6174.97,6204.95,5782900000,^GSPC
2025-07-01,6187.25,6210.78,6177.97,6198.01,6275310000,^GSPC
2025-07-02,6193.88,6227.60,6188.29,6227.42,5645710000,^GSPC
2025-07-03,6246.46,6284.65,6246.46,6279.35,3378110000,^GSPC
2025-07-07,6259.04,6262.07,6201.00,6229.98,5236740000,^GSPC
2025-07-08,6234.03,6242.70,6217.75,6225.52,5739030000,^GSPC
